出倫之才,xuaats luaanz chiz taif,10000,
五短身材,ngux ddoanr thaanz taif,10000,
舉一反三,cuwr nhaats phanr tamz,10000,
包藏禍心,baoz tangf hoaj taamz,10000,
革面洗心,cachs dieenj taayr taamz,10000,
人面獸心,nhaanz dieenj thus taamz,10000,
佛口蛇心,phaatj khaaur xaf taamz,10000,
骨肉相殘,coots nhucj tuwowngz tanf,10000,
厭舊喜新,yeems cuwuj hir taanz,10000,
楮墨難盡,chuwr mawcj nanz taanj,10000,
乾坤再造,kieenf khoonz tais taoj,10000,
指東畫西,chir ddoongz hoachj taayz,10000,
同惡相濟,ddoongf acs tuwowngz tees,10000,
伯夷叔齊,bas diz thucs teef,10000,
補偏救弊,boor thieenz cuwus teej,10000,
以卵投石,dix noanx ddaauf thachj,10000,
滴水穿石,tichs thuyr xuyeenz thachj,10000,
無精打采,vooz tinhz ddar thais,10000,
舉目無親,cuwr mucj vooz thaanz,10000,
出鬼入神,xuaats quyr nhaapj thaanf,10000,
百戰百勝,bachs chieens bachs thawngs,10000,
有志竟成,huwux chis canhs thanhf,10000,
以一當十,dix nhaats dduwowngz thaapj,10000,
萬無一失,vanj vooz nhaats thaats,10000,
冒冒失失,maoj maoj thaats thaats,10000,
冒名頂替,maoj danhz ddinhs thees,10000,
窮年累世,cungf nieenz luyx thees,10000,
目空一切,mucj khoongz nhaats thees,10000,
勞工團體,laoz coongz ddoanf theer,10000,
千載一時,thieenz tair nhaats thif,10000,
大隱朝市,ddaij aanr trieeuf thij,10000,
事過境遷,suwj quas canhr thieenz,10000,
不共戴天,baats coongj ddais thieenz,10000,
白日升天,bachj nhaatj thawngz thieenz,10000,
人定勝天,nhaanz ddinhj thawngs thieenz,10000,
害人不淺,haij nhaanz baats thieenr,10000,
隱惡揚善,aanr acs duwowngz thieenj,10000,
遏惡揚善,ats acs duwowngz thieenj,10000,
改惡從善,cair acs tongf thieenj,10000,
赤口白舌,xichs khaaur bachj thieetj,10000,
守株待兔,thur chuz ddaix thoos,10000,
急流勇退,caaps luwuz dungx thoais,10000,
創業垂統,sangs nghieepj thuyf thoongs,10000,
映雪讀書,anhs tuyeets ddoocj thuwz,10000,
罄竹難書,khanhs trucs nanz thuwz,10000,
芝蘭玉樹,chiz lanz ngocj thuj,10000,
不學無術,baats hocj vooz thuaatj,10000,
半生半熟,bans sinhz bans thucj,10000,
